Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://theprofitplatform.com.au/blog/mobile-first-web-design-why-sydney-businesses-can-t-ignore-it-in-2025,,-,0.005084292496481882,n/a,2,308,0.015,0,0,0,0,0,-,0,70,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/mobile-first-web-design-why-sydney-businesses-can-t-ignore-it-in-2025/,Mobile-First Web Design: Why Sydney Businesses Can't Ignore It in 2025 | The Profit Platform,76,0.0072913623154052575,n/a,2,200,0.052,1,1,1,0,0,Self-canonical,1,1,38,10,0,2,0,8,61,31,discover why mobile first web design is critical for sydney businesses in 2025. learn the framework that's driving local success and boosting conversions.,Google-Extended
https://theprofitplatform.com.au/blog/negative-keywords-how-to-stop-wasting-money-on-google-ads,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",19,0.0020964380910073435,n/a,3,200,0.049,0,1,1,0,0,Canonical to other page,0,3,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/negative-keywords-how-to-stop-wasting-money-on-google-ads/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",8,0.0019486206937850208,n/a,3,200,0.07,0,1,1,0,0,Canonical to other page,0,1,29,5,0,2,1,8,59,27,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/parramatta-plumber-case-study,,-,0.005070694920229485,n/a,2,308,0.011,0,0,0,0,0,-,0,70,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/parramatta-plumber-case-study/,Case Study: How We Got a Parramatta Plumber 2.6x More Calls in 30 Days | The Profit Platform,82,0.007400853671174899,n/a,2,200,0.146,1,1,1,0,0,Self-canonical,1,3,36,6,0,2,0,8,61,29,real results from a local parramatta plumbing business. see the exact digital marketing strategies that generated 160% more phone calls in one month.,Google-Extended
https://theprofitplatform.com.au/blog/parramatta-plumber-case-study/?utm_source=theprofitplatform&utm_medium=referral,Case Study: How We Got a Parramatta Plumber 2.6x More Calls in 30 Days | The Profit Platform,13,0.001962487894126919,n/a,3,200,0.035,1,1,1,0,0,Canonical to other page,0,1,35,6,0,2,1,8,61,31,real results from a local parramatta plumbing business. see the exact digital marketing strategies that generated 160% more phone calls in one month.,Google-Extended
https://theprofitplatform.com.au/blog/remarketing-campaigns-that-actually-convert-for-sydney-ecommerce,,-,0.004998311097139736,n/a,2,308,0.014,0,0,0,0,0,-,0,69,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/remarketing-campaigns-that-actually-convert-for-sydney-ecommerce/,Remarketing Campaigns That Actually Convert for Sydney eCommerce | The Profit Platform,75,0.00719669038519133,n/a,2,200,0.06,1,1,1,0,0,Self-canonical,1,1,38,10,0,2,0,8,61,31,stop wasting ad spend. learn the remarketing campaigns that transformed a sydney store from a 0.3% to a 4.7% conversion rate. get our proven strategy.,Google-Extended
https://theprofitplatform.com.au/blog/schema-markup-for-local-sydney-businesses-implementation-guide,,-,0.004998311097139736,n/a,2,308,0.015,0,0,0,0,0,-,0,69,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/schema-markup-for-local-sydney-businesses-implementation-guide/,Schema Markup for Local Sydney Businesses: Implementation Guide | The Profit Platform,75,0.00719669038519133,n/a,2,200,0.067,1,1,1,0,0,Self-canonical,1,1,37,8,0,2,0,8,61,31,"boost your sydney business visibility with schema markup for local business. get rich results, higher click-through rates, and dominate local search competition",Google-Extended
https://theprofitplatform.com.au/blog/seo-guide,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",95,0.039234829173686,n/a,1,200,0.136,0,1,1,0,0,Canonical to other page,0,148,28,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/website-speed-optimization-how-sydney-businesses-can-improve-core-web-vitals/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",15,0.0020343231205040765,n/a,3,200,0.048,0,1,1,0,0,Canonical to other page,0,2,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/wordpress-seo-complete-optimization-guide-for-sydney-websites,,-,0.005084292496481882,n/a,2,308,0.013,0,0,0,0,0,-,0,70,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/wordpress-seo-complete-optimization-guide-for-sydney-websites/,WordPress SEO: Complete Optimization Guide for Sydney Websites | The Profit Platform,76,0.0072913623154052575,n/a,2,200,0.085,1,1,1,0,0,Self-canonical,1,1,37,8,0,2,0,8,61,31,master wordpress seo with our complete guide for sydney businesses. learn proven strategies to boost rankings and get found on page 1 of google results.,Google-Extended
"https://theprofitplatform.com.au/blog?tag=""Case Study"", ""Local SEO"", ""Google Ads"", ""Parramatta"", ""Results""",,-,0.001986559362797156,n/a,3,308,0.014,0,0,0,0,0,-,0,2,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=2025,,-,0.00205969056317777,n/a,3,308,0.011,0,0,0,0,0,-,0,2,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Ad Extensions,,-,0.0019502771250989618,n/a,3,308,0.014,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Analytics,,-,0.0020479018021727605,n/a,3,308,0.012,0,0,0,0,0,-,0,2,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Authority,,-,0.0019521163212141068,n/a,3,308,0.019,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Automation,,-,0.001950324941387492,n/a,3,308,0.016,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=B2B,,-,0.0019544880723833076,n/a,3,308,0.014,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Backlinks,,-,0.0019521163212141068,n/a,3,308,0.019,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Bidding Strategies,,-,0.001950324941387492,n/a,3,308,0.013,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=CMS,,-,0.0019543154319407556,n/a,3,308,0.013,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=CRO,,-,0.0019447174588217,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=CTR,,-,0.0019502771250989618,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Checklist,,-,0.001958265709016938,n/a,3,308,0.014,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Citations,,-,0.0019483762417724295,n/a,3,308,0.019,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Content Strategy,,-,0.0019544880723833076,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Conversion,,-,0.0019313755175444703,n/a,3,308,0.013,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Conversions,,-,0.0020324901373168073,n/a,3,308,0.015,0,0,0,0,0,-,0,2,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Cost Optimization,,-,0.001968614787689741,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Cost Reduction,,-,0.0019486206937850208,n/a,3,308,0.015,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Directory Listings,,-,0.0019483762417724295,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Engagement,,-,0.0019483762417724295,n/a,3,308,0.025,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Free Resources,,-,0.0019311198825693024,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Free Tools,,-,0.001941345639239655,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Funnels,,-,0.0019313755175444703,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=GA4,,-,0.001950324941387492,n/a,3,308,0.022,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Google Ads,,-,0.0021893277728309017,n/a,3,308,0.013,0,0,0,0,0,-,0,3,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Google Analytics,,-,0.001950324941387492,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Google Business Profile,,-,0.0021929061215638576,n/a,3,308,0.012,0,0,0,0,0,-,0,3,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Google Ranking,,-,0.001987306740088021,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Google Search Console,,-,0.001947558293108723,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Growth Strategy,,-,0.001969721061304856,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Lead Generation,,-,0.0019313755175444703,n/a,3,308,0.014,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Link Building,,-,0.0019521163212141068,n/a,3,308,0.015,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Local SEO,,-,0.0026042708243973665,n/a,3,308,0.017,0,0,0,0,0,-,0,7,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Local Search,,-,0.00199228093744568,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Marketing,,-,0.0019544880723833076,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Marketing Budget,,-,0.001979105535556677,n/a,3,308,0.011,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Marketing Tools,,-,0.0019311198825693024,n/a,3,308,0.015,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Mobile Design,,-,0.0019483417211619307,n/a,3,308,0.01,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Multi-Location,,-,0.001969721061304856,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=NAP,,-,0.0019483762417724295,n/a,3,308,0.012,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Optimization,,-,0.00213183789690231,n/a,3,308,0.018,0,0,0,0,0,-,0,3,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=PPC,,-,0.002272114211294211,n/a,3,308,0.012,0,0,0,0,0,-,0,4,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=PPC Optimization,,-,0.0019486206937850208,n/a,3,308,0.015,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog?tag=Posts,,-,0.0019483762417724295,n/a,3,308,0.014,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,Google-Extended
